trial,A,W,MT,misses,session
1,150,100,950.1,0,
2,150,100,599.7,0,
3,300,40,833.3,0,
4,450,70,716.6,0,
5,300,100,566.8,0,
6,150,40,684.2,0,
7,300,70,849.2,0,
8,150,70,651,0,
9,450,100,648.9,0,
10,300,40,800,0,
11,300,40,869,0,
12,300,40,981.4,0,
13,150,100,1149.3,0,
14,450,40,950.4,0,
15,450,70,816.5,0,
16,150,40,701.2,0,
17,300,70,648.7,0,
18,150,70,1083.5,1,
19,450,70,733.9,0,
20,300,70,849.7,0,
21,450,70,766.2,0,
22,300,70,1100.1,1,
23,300,100,651.9,0,
24,450,100,698.1,0,
25,150,40,901.2,0,
26,450,100,800,0,
27,150,70,649.4,0,
28,450,40,867.6,0,
29,450,100,732.8,0,
30,150,70,766,0,
31,300,100,1166.4,1,
32,300,100,684.7,0,
33,450,40,799.4,0,
34,150,100,599.2,0,
35,150,40,667.7,0,
36,450,40,966.6,0,
